Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,101.684921,103.080956,96.767403,99.340355,99.340355,7347295809
2019-12-20,99.388931,99.778053,97.647293,99.247276,99.247276,6285207826
2019-12-21,99.270279,99.310036,98.129234,98.528214,98.528214,5728070040
2019-12-22,98.502975,102.397934,98.374962,101.792351,101.792351,7013948035
2019-12-23,101.741959,104.099815,98.447891,99.373032,99.373032,7434774730
2019-12-24,99.384750,101.819023,98.444817,99.802010,99.802010,6156684082
2019-12-25,99.805573,99.501617,96.276848,97.486534,97.486534,6489627667
2019-12-26,97.510963,100.713585,96.488091,97.222702,97.222702,6617536704
2019-12-27,97.228531,97.933922,95.428757,97.258881,97.258881,6345099574
2019-12-28,97.257660,99.585754,97.018120,98.106049,98.106049,6169188589
2019-12-29,98.063354,104.503098,97.770882,102.934753,102.934753,7416039439
2019-12-30,102.964188,104.294579,100.319939,101.149612,101.149612,7471400302
2019-12-31,101.133430,100.847809,97.126686,97.739548,97.739548,6739290950
2020-01-01,97.754478,100.248589,97.503746,98.714050,98.714050,5988583431
2020-01-02,98.727661,99.505646,96.565712,96.912010,96.912010,6109919641
2020-01-03,96.912827,102.866142,96.701241,102.573875,102.573875,8009516846
2020-01-04,102.571434,104.011894,101.709099,103.260132,103.260132,5680904209
2020-01-05,103.262215,106.594994,103.257782,104.199127,104.199127,5755001349
2020-01-06,104.221130,109.576263,103.313835,109.558022,109.558022,6904118314
2020-01-07,109.563972,110.581833,107.140190,109.470100,109.470100,7060338423
2020-01-08,109.427261,112.042686,105.510803,107.792389,107.792389,7163255825
2020-01-09,107.714279,108.180542,104.234474,106.332985,106.332985,5889223624
2020-01-10,106.323685,110.346245,103.727852,110.190453,110.190453,6953554661
2020-01-11,109.765907,112.121323,108.850662,109.401131,109.401131,7143180418
2020-01-12,109.481827,112.040100,109.404251,111.831627,111.831627,6537966071
2020-01-13,112.097031,113.024406,110.033783,111.049713,111.049713,6451191200
2020-01-14,111.068550,128.767868,110.631920,127.442261,127.442261,12833907361
2020-01-15,127.272751,130.693817,123.549652,127.476830,127.476830,11636205241
2020-01-16,127.555161,127.744858,122.125656,125.705368,125.705368,10502931251
2020-01-17,125.780586,132.971664,125.062943,131.212799,131.212799,11522490606
2020-01-18,131.188034,137.166336,128.146500,134.736069,134.736069,11470437595
2020-01-19,134.814392,136.266907,125.833786,128.365417,128.365417,10542759753
2020-01-20,128.314896,130.047318,124.831055,128.513672,128.513672,8570009672
2020-01-21,128.467499,130.246292,127.110764,130.083054,130.083054,7504138978
